question_text,question_type,question_set_id,order_in_set,is_active
Chu kỳ kinh nguyệt của bạn thường kéo dài bao nhiêu ngày?,single,1,1,1
Tình trạng thai kỳ hiện tại của bạn là gì?,single,1,2,1
Bạn có đang sử dụng biện pháp tránh thai nào không?,single,1,3,1
Ngày đầu tiên của kỳ kinh gần nhất là khi nào?,single,1,4,1
Bạn thường bị đau bụng kinh không?,single,1,5,1
Màu sắc máu kinh nguyệt của bạn thường là gì?,single,1,6,1
Lượng máu kinh của bạn như thế nào?,single,1,7,1
Bạn thường có những triệu chứng nào trước hoặc trong kỳ kinh?,single,1,8,1
Bạn đã từng bị rong kinh chưa?,single,1,9,1
Bạn có từng được chẩn đoán mắc các bệnh phụ khoa nào sau đây?,single,1,10,1
Bạn có bị rối loạn kinh nguyệt không?,single,1,11,1
Bạn thường bị chuột rút trong kỳ kinh không?,single,1,12,1
Bạn có từng bị trễ kinh quá 7 ngày không?,single,1,13,1
Tâm trạng của bạn thường thay đổi như thế nào quanh kỳ kinh?,single,1,14,1
Bạn có nhu cầu theo dõi những gì trong chu kỳ?,single,1,15,1
Bạn có theo dõi chu kỳ kinh nguyệt hằng tháng không?,single,1,16,1
Chu kỳ của bạn thường kéo dài bao nhiêu ngày?,single,1,17,1
Bạn có hay bị rối loạn kinh nguyệt không?,single,1,18,1
Bạn có thường gặp triệu chứng tiền kinh nguyệt (PMS) không?,single,1,19,1
Bạn có ghi chú lại ngày rụng trứng không?,single,1,20,1
Bạn có dùng app hoặc sổ để theo dõi chu kỳ không?,single,1,21,1
Bạn có từng bỏ lỡ kỳ kinh nào trong 6 tháng gần đây không?,single,1,22,1
Bạn có gặp vấn đề về chu kỳ sau khi thay đổi chế độ ăn không?,single,1,23,1
Bạn có bị đau bụng hoặc khó chịu trong chu kỳ không?,single,1,24,1
Bạn có muốn dự đoán ngày rụng trứng để mang thai hoặc tránh thai không?,single,1,25,1
Bạn đã từng khám sức khỏe tổng quát trong năm nay chưa?,single,2,1,1
Bạn có tiền sử bệnh mãn tính nào không?,single,2,2,1
Bạn có hút thuốc hoặc uống rượu thường xuyên không?,single,2,3,1
Bạn có bị dị ứng với loại thuốc hoặc thực phẩm nào không?,single,2,4,1
Gia đình bạn có ai mắc bệnh di truyền không?,single,2,5,1
Bạn có thường xuyên tập thể dục không?,single,2,6,1
Bạn có gặp vấn đề về giấc ngủ trong thời gian dài không?,single,2,7,1
Bạn có đang sử dụng thuốc theo toa không?,single,2,8,1
Bạn có từng phẫu thuật trong vòng 5 năm qua không?,single,2,9,1
Bạn có cảm thấy căng thẳng hoặc áp lực kéo dài không?,single,2,10,1
Bạn có gặp khó khăn khi cho con bú không?,single,3,1,1
Bạn có đang cảm thấy mệt mỏi sau sinh không?,single,3,2,1
Bạn có nhận được sự hỗ trợ từ gia đình sau sinh không?,single,3,3,1
Bạn có đang gặp các triệu chứng trầm cảm sau sinh không?,single,3,4,1
Bạn có gặp khó khăn trong việc cân bằng chăm sóc con và bản thân không?,single,3,5,1
Bạn có muốn được tư vấn về chế độ dinh dưỡng sau sinh không?,single,3,6,1
Bạn có gặp vấn đề về giấc ngủ do chăm con không?,single,3,7,1
Bạn có đang sử dụng biện pháp tránh thai sau sinh không?,single,3,8,1
Bạn có muốn tư vấn về việc phục hồi sức khỏe sau sinh không?,single,3,9,1
Bạn có câu hỏi nào liên quan đến việc mang thai lần sau không?,single,3,10,1
